677,92,363,334,69.9,172.2,1
677,211,1190,153,60.8,172.1,1
677,23,1384,596,95.7,253.2,1
677,136,739,657,89.6,238.5,1
677,281,494,575,78.2,228.6,1
677,201,1117,153,53.8,165,0.999
677,238,386,75,52.1,163.3,1
677,193,433,114,54.1,158.6,1
677,162,946,256,66.1,189.6,1
677,53,1105,568,78.6,214.3,1
677,279,265,147,49.7,160.6,1
677,180,215,129,56,185.6,1
677,215,893,82,56.2,158.4,1
677,224,966,88,63.7,156.1,1
677,89,764,301,74.6,214.7,1
677,125,1013,373,71.6,203.6,0.999
677,263,1561,20,60.3,170.4,0.999
677,42,1018,549,72,222,1
677,261,1724,467,88.3,275.4,1
677,270,1621,255,74.6,193.4,1
677,170,856,266,63.5,188.7,0.999
677,265,1237,2,51.2,140.8,0.996
677,151,328,591,92.3,210.3,0.999
677,24,1447,120,49.3,169.5,0.999
677,272,1751,232,60.6,181.1,1
677,156,374,202,64.7,183.9,0.999
677,240,926,789,99.7,256.7,0.999
677,60,944,543,78,251.3,1
677,271,840,419,75,204.7,0.999
677,250,444,-13,50.4,145.6,0.998
677,107,293,84,50.4,174.4,0.998
677,167,1835,281,74.5,184.6,0.994
677,221,1794,286,61.4,179,0.995
677,206,820,83,63.4,164.2,0.993
677,182,1465,225,63.1,177.8,0.986
677,230,341,122,57.4,175.8,0.995
677,244,1149,90,50.1,150.6,0.999
677,93,297,315,67.5,196.3,0.992
677,257,291,505,92.4,234.4,0.988
677,262,490,122,59,157.3,0.996
677,39,539,-15,63.9,153.3,0.993
677,159,269,582,68.9,217.3,0.977
677,164,327,193,51.2,170,0.992
677,25,624,769,85.1,270.1,0.981
677,284,391,-17,63.9,134.9,0.982
677,100,242,836,83.8,230,0.976
677,194,778,183,70,189.7,0.982
677,187,252,255,56,189.1,0.977
677,274,1120,357,78.2,201.3,0.962
677,258,480,-0,44.4,138,0.882
677,280,1585,182,82.4,186.7,0.966
677,234,662,630,77.1,250.4,0.896
677,235,683,305,59.2,189.9,0.879
677,140,1096,329,61.2,190.1,0.976
677,286,1220,51,56.5,175.9,0.756
677,292,1152,135,59.8,168.1,0.811
677,275,1824.0,594.0,66.25,180.25,0.596
677,291,850.0,208.666666667,61.9,170.1,0.999
679,151,332,597,78.5,219.5,0.999
679,136,740,658,89.2,232.8,1
679,89,766,310,66.8,201.2,1
679,180,216,130,54.5,181.1,1
679,279,265,148,48.9,155.6,1
679,281,493,577,75.9,231.3,0.999
679,261,1738,476,89.5,266.4,1
679,193,441,128,46.9,150.3,0.999
679,162,946,250,68,181.8,1
679,53,1103,576,81.7,219.4,1
679,92,358,327,72.9,183.4,1
679,215,897,79,59.5,162.7,1
679,270,1622,260,73.4,183,1
679,23,1384,615,95.9,230.6,1
679,211,1194,147,60.4,176,1
679,272,1757,228,59.1,190.1,1
679,224,972,89,65,162.8,1
679,60,945,551,74.8,239,1
679,42,1022,536,78,230.1,1
679,100,229,831,88.9,232.7,0.999
679,156,370,201,67.7,171.2,0.999
679,24,1442,121,58.6,167.6,0.999
679,263,1559,31,58.8,156.6,0.999
679,240,936,797,93.5,222,0.999
679,107,283,82,48.9,166.1,0.999
679,271,832,419,76,212.7,1
679,167,1851,281,56.4,178.6,0.999
679,125,1014,378,61,209,1
679,201,1123,153,51.7,167.6,0.998
679,230,336,121,65.4,187,0.995
679,170,860,267,67.3,196.4,0.999
679,182,1474,220,66.1,180.6,0.999
679,262,490,122,61.6,161.2,0.998
679,93,302,340,62.7,172.3,0.994
679,159,263,605,73.2,213.1,0.998
679,238,387,85,50.5,170.3,0.998
679,194,789,177,66.6,196.3,0.997
679,39,538,-17,64.6,155.9,0.997
679,25,619,758,83.2,259.9,0.995
679,265,1230,2,63.7,153.7,0.996
679,187,258,268,62.1,185.2,0.998
679,206,824,75,59.6,177.8,0.998
679,221,1791,278,65.1,185.2,0.995
679,284,392,-17,51.3,143.8,0.996
679,164,321,194,50.7,177.1,0.539
679,257,283,532,80.5,182.5,0.987
679,140,1094,338,62.7,195.2,0.982
679,250,447,-13,46.7,138.9,0.985
679,258,484,1,45.9,138.7,0.878
679,274,1108,349,88.8,206.5,0.891
679,280,1596,176,81.3,193.5,0.961
679,234,663,633,80.3,251.2,0.898
679,235,683,297,55.1,172.9,0.589
679,292,1140,98,52.5,159.2,0.998
679,286,1224.0,53.0,54.1,157.95,0.819
679,275,1825.0,591.0,70.55,187.35,0.611
679,291,848.333333333,210.333333333,63.7,181.8,0.998
